,t-ex,h_sr
2019/7/1 0:00,22.5,0
2019/7/1 1:00,22,0
2019/7/1 2:00,21.5,0
2019/7/1 3:00,21.2,0
2019/7/1 4:00,21,0
2019/7/1 5:00,21,16.66666667
2019/7/1 6:00,21.1,58.33333333
2019/7/1 7:00,21.2,108.3333333
2019/7/1 8:00,21.6,158.3333333
2019/7/1 9:00,22,208.3333333
2019/7/1 10:00,22.6,247.2222222
2019/7/1 11:00,23.1,272.2222222
2019/7/1 12:00,23.4,277.7777778
2019/7/1 13:00,23.5,261.1111111
2019/7/1 14:00,23.8,230.5555556
2019/7/1 15:00,23.8,186.1111111
2019/7/1 16:00,23.8,133.3333333
2019/7/1 17:00,23.9,83.33333333
2019/7/1 18:00,23.9,36.11111111
2019/7/1 19:00,22.5,2.777777778
2019/7/1 20:00,21.8,0
2019/7/1 21:00,21.6,0
2019/7/1 22:00,21.2,0
2019/7/1 23:00,20.7,0
2019/7/2 0:00,20.5,0
2019/7/2 1:00,20.1,0
2019/7/2 2:00,20,0
2019/7/2 3:00,20.1,0
2019/7/2 4:00,20.1,0
2019/7/2 5:00,20,16.66666667
2019/7/2 6:00,20.2,58.33333333
2019/7/2 7:00,20.4,77.77777778
2019/7/2 8:00,20.9,80.55555556
2019/7/2 9:00,21.3,100
2019/7/2 10:00,21.3,116.6666667
2019/7/2 11:00,21.7,125
2019/7/2 12:00,22.3,200
2019/7/2 13:00,22,261.1111111
2019/7/2 14:00,21.7,230.5555556
2019/7/2 15:00,21.6,186.1111111
2019/7/2 16:00,21.6,133.3333333
2019/7/2 17:00,21,83.33333333
2019/7/2 18:00,20.8,36.11111111
2019/7/2 19:00,20.6,2.777777778
2019/7/2 20:00,20.4,0
2019/7/2 21:00,20.4,0
2019/7/2 22:00,20.2,0
2019/7/2 23:00,20.3,0
2019/7/3 0:00,20,0
2019/7/3 1:00,19.9,0
2019/7/3 2:00,20.1,0
2019/7/3 3:00,20.2,0
2019/7/3 4:00,20.1,0
2019/7/3 5:00,20,16.66666667
2019/7/3 6:00,20.3,58.33333333
2019/7/3 7:00,20.6,108.3333333
2019/7/3 8:00,21.2,158.3333333
2019/7/3 9:00,22,208.3333333
