,v1,t_in,t_supply
2020/12/15 0:00,2.5664,22.1,38.3
2020/12/15 0:01,2.5742,22.2,38.3
2020/12/15 0:02,2.5494,22.2,38.5
2020/12/15 0:03,2.5934,22.2,38.4
2020/12/15 0:04,2.5342,22.3,38.4
2020/12/15 0:05,2.6332,22.2,38.4
2020/12/15 0:06,2.5658,22.2,38.5
2020/12/15 0:07,2.4754,22.3,38.5
2020/12/15 0:08,2.5756,22.3,38.4
2020/12/15 0:09,2.5394,22.2,38.5
2020/12/15 0:10,2.5532,22.3,38.7
2020/12/15 0:11,2.6004,22.4,38.6
2020/12/15 0:12,2.5682,22.4,38.6
2020/12/15 0:13,2.6406,22.4,38.5
2020/12/15 0:14,2.585,22.3,38.7
2020/12/15 0:15,2.6198,22.4,38.7
2020/12/15 0:16,2.5426,22.3,38.6
2020/12/15 0:17,2.581,22.4,38.6
2020/12/15 0:18,2.5152,22.4,38.5
2020/12/15 0:19,2.5836,22.4,38.7
2020/12/15 0:20,2.4928,22.4,38.7
2020/12/15 0:21,2.581,22.4,38.6
2020/12/15 0:22,2.5622,22.4,38.5
2020/12/15 0:23,2.559,22.4,38.7
2020/12/15 0:24,2.5296,22.5,38.7
2020/12/15 0:25,2.4996,22.5,38.6
2020/12/15 0:26,2.5312,22.5,38.7
2020/12/15 0:27,2.5948,22.5,38.7
2020/12/15 0:28,2.5604,22.5,38.6
2020/12/15 0:29,2.6458,22.6,38.7
2020/12/15 0:30,2.5818,22.5,38.6
2020/12/15 0:31,2.6102,22.5,38.7
2020/12/15 0:32,2.5944,22.5,38.7
2020/12/15 0:33,2.5478,22.5,38.7
2020/12/15 0:34,2.5458,22.6,38.7
2020/12/15 0:35,2.5406,22.6,38.7
2020/12/15 0:36,2.5526,22.6,38.8
2020/12/15 0:37,2.6302,22.7,38.8
2020/12/15 0:38,2.5054,22.6,38.8
2020/12/15 0:39,2.6016,22.6,38.8
2020/12/15 0:40,2.5888,22.7,38.8
2020/12/15 0:41,2.5514,22.6,38.8
2020/12/15 0:42,2.5676,22.6,38.7
2020/12/15 0:43,2.6496,22.6,38.8
2020/12/15 0:44,2.5998,22.7,38.9
2020/12/15 0:45,2.6426,22.6,38.9
2020/12/15 0:46,2.5946,22.7,38.8
2020/12/15 0:47,2.5952,22.7,38.8
2020/12/15 0:48,2.5772,22.7,38.8
2020/12/15 0:49,2.5416,22.7,38.8
2020/12/15 0:50,2.55,22.7,38.8
2020/12/15 0:51,2.5974,22.8,39
2020/12/15 0:52,2.577,22.8,38.8
2020/12/15 0:53,2.6242,22.7,38.8
2020/12/15 0:54,2.5582,22.8,38.8
2020/12/15 0:55,2.5594,22.8,38.7
2020/12/15 0:56,2.4922,22.8,38.8
2020/12/15 0:57,2.5222,22.8,38.9
2020/12/15 0:58,2.624,22.7,38.9
2020/12/15 0:59,2.6194,22.8,38.9
2020/12/15 1:00,2.57,22.7,38.9
2020/12/15 1:01,2.594,22.8,38.9
2020/12/15 1:02,2.5652,22.7,38.9
2020/12/15 1:03,2.5742,22.8,38.9
2020/12/15 1:04,2.5922,22.9,38.9
2020/12/15 1:05,2.5646,22.8,39
2020/12/15 1:06,2.5804,22.9,38.9
2020/12/15 1:07,2.6204,22.8,39
2020/12/15 1:08,2.5208,22.9,39
2020/12/15 1:09,2.6168,23,39
2020/12/15 1:10,2.623,22.9,39
2020/12/15 1:11,2.568,22.9,39.1
2020/12/15 1:12,2.5748,22.9,39
2020/12/15 1:13,2.6142,22.9,38.9
2020/12/15 1:14,2.574,23,39
2020/12/15 1:15,2.5866,22.9,39
2020/12/15 1:16,2.6256,23,38.9
2020/12/15 1:17,2.5746,23.1,39
2020/12/15 1:18,2.5392,22.9,39
2020/12/15 1:19,2.5308,23,39
2020/12/15 1:20,2.6316,23.1,39.1
2020/12/15 1:21,2.524,23,39.1
2020/12/15 1:22,2.6162,23.1,39.1
2020/12/15 1:23,2.5586,23,39.1
2020/12/15 1:24,2.5518,23.1,39.1
2020/12/15 1:25,2.5546,23,39
2020/12/15 1:26,2.5992,23,39.1
2020/12/15 1:27,2.5536,23,39.1
2020/12/15 1:28,2.559,23.1,39.1
2020/12/15 1:29,2.6028,23.1,39.1
2020/12/15 1:30,2.5544,23.1,39.2
2020/12/15 1:31,2.6222,23,39.2
2020/12/15 1:32,2.5528,23.1,39.2
2020/12/15 1:33,2.5052,23.1,39.3
2020/12/15 1:34,2.5166,23.2,39.1
2020/12/15 1:35,2.5982,23.2,39.2
2020/12/15 1:36,2.5816,23.1,39.2
2020/12/15 1:37,2.6014,23.1,39.1
2020/12/15 1:38,2.5794,23.1,39.1
2020/12/15 1:39,2.593,23.2,39.2
2020/12/15 1:40,2.5802,23.1,39.2
2020/12/15 1:41,2.603,23.3,39.2
2020/12/15 1:42,2.5624,23.2,39.1
2020/12/15 1:43,2.494,23.2,39.3
2020/12/15 1:44,2.5388,23.2,39.2
2020/12/15 1:45,2.648,23.2,39.2
2020/12/15 1:46,2.5602,23.3,39.1
2020/12/15 1:47,2.5536,23.3,39.1
2020/12/15 1:48,2.568,23.2,39.3
2020/12/15 1:49,2.6144,23.2,39.2
2020/12/15 1:50,2.6242,23.3,39.2
2020/12/15 1:51,2.5634,23.3,39.3
2020/12/15 1:52,2.6044,23.3,39.3
2020/12/15 1:53,2.6124,23.2,39.3
2020/12/15 1:54,2.5934,23.3,39.3
2020/12/15 1:55,2.5854,23.2,39.3
2020/12/15 1:56,2.5848,23.3,39.3
2020/12/15 1:57,2.5692,23.3,39.3
2020/12/15 1:58,2.5738,23.3,39.3
2020/12/15 1:59,2.6336,23.2,39.3
2020/12/15 2:00,2.5428,23.3,39.4
2020/12/15 2:01,2.6214,23.3,39.4
2020/12/15 2:02,2.5868,23.4,39.5
2020/12/15 2:03,2.5678,23.4,39.5
2020/12/15 2:04,2.5792,23.4,39.5
2020/12/15 2:05,2.5552,23.3,39.4
2020/12/15 2:06,2.5732,23.4,39.5
2020/12/15 2:07,2.5352,23.4,39.4
2020/12/15 2:08,2.641,23.3,39.4
2020/12/15 2:09,2.5918,23.4,39.5
2020/12/15 2:10,2.5814,23.5,39.6
2020/12/15 2:11,2.5852,23.4,39.5
2020/12/15 2:12,2.6048,23.5,39.4
2020/12/15 2:13,2.5784,23.5,39.4
2020/12/15 2:14,2.5972,23.5,39.5
2020/12/15 2:15,2.5916,23.5,39.4
2020/12/15 2:16,2.6236,23.5,39.3
2020/12/15 2:17,2.5864,23.5,39.5
2020/12/15 2:18,2.5238,23.5,39.4
2020/12/15 2:19,2.5776,23.5,39.4
2020/12/15 2:20,2.6244,23.6,39.4
2020/12/15 2:21,2.5354,23.5,39.6
2020/12/15 2:22,2.5836,23.6,39.6
2020/12/15 2:23,2.5798,23.5,39.4
2020/12/15 2:24,2.632,23.5,39.5
2020/12/15 2:25,2.5308,23.5,39.4
2020/12/15 2:26,2.5816,23.5,39.5
2020/12/15 2:27,2.5344,23.5,39.6
2020/12/15 2:28,2.5654,23.5,39.5
2020/12/15 2:29,2.6352,23.6,39.5
2020/12/15 2:30,2.5542,23.6,39.6
2020/12/15 2:31,2.6282,23.6,39.6
2020/12/15 2:32,2.602,23.6,39.6
2020/12/15 2:33,2.6454,23.7,39.7
2020/12/15 2:34,2.5774,23.6,39.7
2020/12/15 2:35,2.6518,23.6,39.7
2020/12/15 2:36,2.5442,23.5,39.7
2020/12/15 2:37,2.5614,23.6,39.7
2020/12/15 2:38,2.6416,23.6,39.7
2020/12/15 2:39,2.6112,23.6,39.7
2020/12/15 2:40,2.5926,23.6,39.7
2020/12/15 2:41,2.5244,23.6,39.7
2020/12/15 2:42,2.6638,23.7,39.6
2020/12/15 2:43,2.6354,23.7,39.7
2020/12/15 2:44,2.5458,23.7,39.5
2020/12/15 2:45,2.6308,23.6,39.5
2020/12/15 2:46,2.6098,23.6,39.6
2020/12/15 2:47,2.605,23.6,39.5
2020/12/15 2:48,2.5444,23.7,39.5
2020/12/15 2:49,2.612,23.7,39.5
2020/12/15 2:50,2.5566,23.7,39.7
2020/12/15 2:51,2.6956,23.7,39.6
2020/12/15 2:52,2.6244,23.7,39.7
2020/12/15 2:53,2.5704,23.7,39.7
2020/12/15 2:54,2.59,23.7,39.7
2020/12/15 2:55,2.6266,23.7,39.6
2020/12/15 2:56,2.644,23.7,39.6
2020/12/15 2:57,2.5668,23.7,39.7
2020/12/15 2:58,2.5402,23.7,39.7
2020/12/15 2:59,2.5844,23.9,39.6
2020/12/15 3:00,2.6064,23.8,39.7
2020/12/15 3:01,2.5942,23.8,39.7
2020/12/15 3:02,2.6396,23.8,39.6
