date/time,t_ex,h_ex,IG
2013/1/1 1:00,-1.407,57.167,0.000
2013/1/1 2:00,-1.407,57.167,0.000
2013/1/1 3:00,-1.407,57.167,0.000
2013/1/1 4:00,-1.407,57.167,0.000
2013/1/1 5:00,-1.407,57.167,0.000
2013/1/1 6:00,-1.407,57.167,0.000
2013/1/1 7:00,-1.407,57.167,0.000
2013/1/1 8:00,-1.407,57.167,0.000
2013/1/1 9:00,-1.407,57.167,0.000
2013/1/1 10:00,-1.407,57.167,0.000
2013/1/1 11:00,-1.407,57.167,0.000
2013/1/1 12:00,-1.407,57.167,0.000
2013/1/1 13:00,-1.407,57.167,0.000
2013/1/1 14:00,-1.407,57.167,0.000
2013/1/1 15:00,-1.407,57.167,0.000
2013/1/1 16:00,-1.407,57.167,0.000
2013/1/1 17:00,-1.407,57.167,0.000
2013/1/1 18:00,-1.407,57.167,0.000
2013/1/1 19:00,-1.407,57.167,0.000
2013/1/1 20:00,-1.407,57.167,0.000
2013/1/1 21:00,-1.407,57.167,0.000
2013/1/1 22:00,-1.407,57.167,0.000
2013/1/1 23:00,-1.407,57.167,0.000
2013/1/2 0:00,-1.407,57.167,0.000
2013/1/2 1:00,-1.407,57.167,0.000
2013/1/2 2:00,-1.407,57.167,0.000
2013/1/2 3:00,-1.407,57.167,0.000
2013/1/2 4:00,-1.407,57.167,0.000
2013/1/2 5:00,-1.407,57.167,0.000
2013/1/2 6:00,-1.407,57.167,0.000
2013/1/2 7:00,-1.407,57.167,0.000
2013/1/2 8:00,-1.407,57.167,0.000
2013/1/2 9:00,-1.407,57.167,0.000
2013/1/2 10:00,-1.407,57.167,0.000
2013/1/2 11:00,-1.407,57.167,0.000
2013/1/2 12:00,-1.407,57.167,0.000
2013/1/2 13:00,-1.407,57.167,0.000
2013/1/2 14:00,-1.407,57.167,0.000
2013/1/2 15:00,-1.407,57.167,0.000
2013/1/2 16:00,-1.407,57.167,0.000
2013/1/2 17:00,-1.407,57.167,0.000
2013/1/2 18:00,-1.407,57.167,0.000
2013/1/2 19:00,-1.407,57.167,0.000
2013/1/2 20:00,-1.407,57.167,0.000
2013/1/2 21:00,-1.407,57.167,0.000
2013/1/2 22:00,-1.407,57.167,0.000
2013/1/2 23:00,-1.407,57.167,0.000
2013/1/3 0:00,-1.407,57.167,0.000
2013/1/3 1:00,-1.407,57.167,0.000
2013/1/3 2:00,-1.407,57.167,0.000
2013/1/3 3:00,-1.407,57.167,0.000
2013/1/3 4:00,-1.407,57.167,0.000
2013/1/3 5:00,-1.407,57.167,0.000
2013/1/3 6:00,-1.407,57.167,0.000
2013/1/3 7:00,-1.407,57.167,0.000
2013/1/3 8:00,-1.407,57.167,0.000
2013/1/3 9:00,-1.407,57.167,0.000
2013/1/3 10:00,-1.407,57.167,0.000
2013/1/3 11:00,-1.407,57.167,0.000
2013/1/3 12:00,-1.407,57.167,0.000
2013/1/3 13:00,-1.407,57.167,0.000
2013/1/3 14:00,-1.407,57.167,0.000
2013/1/3 15:00,-1.407,57.167,0.000
2013/1/3 16:00,-1.407,57.167,0.000
2013/1/3 17:00,-1.407,57.167,0.000
2013/1/3 18:00,-1.407,57.167,0.000
2013/1/3 19:00,-1.407,57.167,0.000
2013/1/3 20:00,-1.407,57.167,0.000
2013/1/3 21:00,-1.407,57.167,0.000
2013/1/3 22:00,-1.407,57.167,0.000
2013/1/3 23:00,-1.407,57.167,0.000
2013/1/4 0:00,-1.407,57.167,0.000
2013/1/4 1:00,-1.407,57.167,0.000
2013/1/4 2:00,-1.407,57.167,0.000
2013/1/4 3:00,-1.407,57.167,0.000
2013/1/4 4:00,-1.407,57.167,0.000
2013/1/4 5:00,-1.407,57.167,0.000
2013/1/4 6:00,-1.407,57.167,0.000
2013/1/4 7:00,-1.407,57.167,0.000
2013/1/4 8:00,-1.407,57.167,0.000
2013/1/4 9:00,-1.407,57.167,0.000
2013/1/4 10:00,-1.407,57.167,0.000
2013/1/4 11:00,-1.407,57.167,0.000
2013/1/4 12:00,-1.407,57.167,0.000
2013/1/4 13:00,-1.407,57.167,0.000
2013/1/4 14:00,-1.407,57.167,0.000
2013/1/4 15:00,-1.407,57.167,0.000
2013/1/4 16:00,-1.407,57.167,0.000
2013/1/4 17:00,-1.407,57.167,0.000
2013/1/4 18:00,-1.407,57.167,0.000
2013/1/4 19:00,-1.407,57.167,0.000
2013/1/4 20:00,-1.407,57.167,0.000
2013/1/4 21:00,-1.407,57.167,0.000
2013/1/4 22:00,-1.407,57.167,0.000
2013/1/4 23:00,-1.407,57.167,0.000
2013/1/5 0:00,-1.407,57.167,0.000
2013/1/5 1:00,-1.407,57.167,0.000
2013/1/5 2:00,-1.407,57.167,0.000
2013/1/5 3:00,-1.407,57.167,0.000
2013/1/5 4:00,-1.407,57.167,0.000
2013/1/5 5:00,-1.407,57.167,0.000
2013/1/5 6:00,-1.407,57.167,0.000
2013/1/5 7:00,-1.407,57.167,0.000
2013/1/5 8:00,-1.407,57.167,0.000
2013/1/5 9:00,-1.407,57.167,0.000
2013/1/5 10:00,-1.407,57.167,0.000
2013/1/5 11:00,-1.407,57.167,0.000
2013/1/5 12:00,-1.407,57.167,0.000
2013/1/5 13:00,-1.407,57.167,0.000
2013/1/5 14:00,-1.407,57.167,0.000
2013/1/5 15:00,-1.407,57.167,0.000
2013/1/5 16:00,-1.407,57.167,0.000
2013/1/5 17:00,-1.407,57.167,0.000
2013/1/5 18:00,-1.407,57.167,0.000
