,洗面所,リビング,2Fホール,洋室東,洋室西
2019/7/24 0:00,25.98,25.70166667,26.33833333,25.96833333,26.14666667
2019/7/24 1:00,25.87,25.575,26.155,25.83333333,25.96166667
2019/7/24 2:00,25.755,25.44833333,25.98333333,25.7,25.82166667
2019/7/24 3:00,25.7,25.41,25.88666667,25.63,25.8
2019/7/24 4:00,25.7,25.4,25.8,25.6,25.72666667
2019/7/24 5:00,25.7,25.4,25.80666667,25.6,25.7
2019/7/24 6:00,25.73166667,25.4,26.11,25.745,25.755
2019/7/24 7:00,25.8,25.49166667,26.28166667,25.83833333,25.85333333
2019/7/24 8:00,25.88166667,25.54833333,26.36666667,26.00666667,25.98833333
2019/7/24 9:00,26.01833333,25.70666667,26.735,26.21166667,26.31
2019/7/24 10:00,26.16666667,26.01333333,27.22833333,26.505,26.66333333
2019/7/24 11:00,26.2,26.08166667,27.49666667,26.68,26.84333333
2019/7/24 12:00,26.27,26.11333333,27.63666667,26.835,27.01833333
2019/7/24 13:00,26.34333333,26.2,27.79666667,27.00833333,27.20166667
2019/7/24 14:00,26.46333333,26.29,27.8,27.11333333,27.27333333
2019/7/24 15:00,26.51833333,26.32666667,27.8,27.11833333,27.4
2019/7/24 16:00,26.6,26.4,27.79333333,27.12333333,27.4
2019/7/24 17:00,26.6,26.4,27.69166667,27.07666667,27.335
2019/7/24 18:00,26.6,26.4,27.565,26.95833333,27.26833333
2019/7/24 19:00,26.6,26.4,27.43833333,26.86,27.14833333
2019/7/24 20:00,26.57166667,26.34333333,27.285,26.75833333,27.025
2019/7/24 21:00,26.49333333,26.26666667,27.13333333,26.64333333,26.87
2019/7/24 22:00,26.4,26.155,26.95166667,26.50333333,26.725
2019/7/24 23:00,26.29,26.045,26.78833333,26.365,26.55666667
2019/7/25 0:00,26.19,25.92833333,26.625,26.22666667,26.39
2019/7/25 1:00,26.1,25.84666667,26.48833333,26.105,26.27166667
2019/7/25 2:00,26,25.75,26.35,25.96666667,26.14166667
2019/7/25 3:00,25.88833333,25.63333333,26.18,25.84166667,25.98333333
2019/7/25 4:00,25.8,25.51166667,26.03166667,25.71333333,25.885
2019/7/25 5:00,25.8,25.53166667,26.26833333,25.78333333,25.9
2019/7/25 6:00,25.88666667,25.63166667,26.865,25.92833333,25.97166667
2019/7/25 7:00,25.99666667,25.79833333,27.57,26.08,26.125
2019/7/25 8:00,26.14833333,26.02666667,28.13166667,26.26833333,26.31
2019/7/25 9:00,26.13166667,26.02333333,28.3,26.3,26.33
2019/7/25 10:00,26.1,26.1,28.18666667,26.425,26.46333333
2019/7/25 11:00,26.115,26.21833333,27.98666667,26.57166667,26.63666667
2019/7/25 12:00,26.2,26.305,27.9,26.73833333,26.80833333
2019/7/25 13:00,26.28333333,26.375,27.87666667,26.97666667,27.01333333
2019/7/25 14:00,26.41166667,26.4,27.865,27.11333333,27.14833333
2019/7/25 15:00,26.505,26.44333333,27.9,27.19833333,27.26333333
2019/7/25 16:00,26.6,26.5,27.9,27.27833333,27.3
2019/7/25 17:00,26.60666667,26.49833333,27.78666667,27.19333333,27.25666667
2019/7/25 18:00,26.68833333,26.5,27.64666667,27.03833333,27.19166667
2019/7/25 19:00,26.64,26.43166667,27.47666667,26.87833333,27.08333333
2019/7/25 20:00,26.6,26.395,27.34166667,26.77333333,26.965
2019/7/25 21:00,26.53833333,26.3,27.2,26.66,26.85166667
2019/7/25 22:00,26.46666667,26.18,27.05333333,26.52666667,26.70333333
2019/7/25 23:00,26.36333333,26.045,26.86166667,26.355,26.53666667
2019/7/26 0:00,26.25166667,25.91833333,26.67666667,26.21,26.37166667
2019/7/26 1:00,26.185,25.85166667,26.53666667,26.1,26.27666667
2019/7/26 2:00,26.1,25.8,26.44,26.00833333,26.185
2019/7/26 3:00,26.01833333,25.71166667,26.33333333,25.92,26.09166667
2019/7/26 4:00,25.94,25.62333333,26.225,25.825,25.99833333
2019/7/26 5:00,25.9,25.585,26.17666667,25.8,25.90333333
2019/7/26 6:00,25.88,25.5,26.285,25.835,25.905
2019/7/26 7:00,25.81,25.54,26.67666667,25.88,26.00166667
2019/7/26 8:00,25.93333333,25.68833333,27.24333333,26.12333333,26.18666667
2019/7/26 9:00,26.01666667,25.84666667,27.535,26.24833333,26.39166667
2019/7/26 10:00,26.165,26.095,27.82166667,26.56833333,26.73
2019/7/26 11:00,26.31666667,26.29833333,27.915,26.81333333,27.01166667
2019/7/26 12:00,26.35166667,26.3,27.9,26.85333333,27.11333333
2019/7/26 13:00,26.4,26.385,27.9,26.96666667,27.19333333
2019/7/26 14:00,26.47666667,26.4,27.9,27.08333333,27.27166667
2019/7/26 15:00,26.55333333,26.48666667,27.9,27.17666667,27.39
2019/7/26 16:00,26.65333333,26.5,27.9,27.25666667,27.4
2019/7/26 17:00,26.765,26.55,27.885,27.53,27.4
2019/7/26 18:00,26.83,26.6,27.75166667,27.19833333,27.39
2019/7/26 19:00,26.80666667,26.58666667,27.61,27.06833333,27.285
2019/7/26 20:00,26.8,26.5,27.46333333,26.96,27.16333333
2019/7/26 21:00,26.71666667,26.43166667,27.33833333,26.835,27.05166667
2019/7/26 22:00,26.65166667,26.35833333,27.205,26.73,26.92833333
2019/7/26 23:00,26.55333333,26.27166667,27.07833333,26.61,26.80833333
2019/7/27 0:00,26.46166667,26.17333333,26.95333333,26.495,26.68333333
2019/7/27 1:00,26.36833333,26.05666667,26.82833333,26.36333333,26.55333333
2019/7/27 2:00,26.27833333,25.945,26.67,26.24,26.41333333
2019/7/27 3:00,26.2,25.865,26.53,26.125,26.26833333
2019/7/27 4:00,26.09333333,25.76,26.36833333,25.97,26.14
2019/7/27 5:00,25.98166667,25.63166667,26.22166667,25.84333333,25.96166667
2019/7/27 6:00,25.9,25.58333333,26.1,25.8,25.90333333
2019/7/27 7:00,25.915,25.6,26.1,25.80333333,25.94666667
2019/7/27 8:00,26.00333333,25.6,26.15,25.94333333,26
2019/7/27 9:00,26.11333333,25.66333333,26.36666667,26.18166667,26.16333333
2019/7/27 10:00,26.25166667,25.87833333,26.78166667,26.45,26.56166667
2019/7/27 11:00,26.38166667,26.075,27.13666667,26.58166667,26.81666667
2019/7/27 12:00,26.30333333,26.1,27.3,26.605,26.85666667
2019/7/27 13:00,26.30833333,26.19833333,27.38833333,26.74166667,26.945
2019/7/27 14:00,26.4,26.29,27.48666667,26.91666667,27.12166667
2019/7/27 15:00,26.48833333,26.3,27.50166667,27.075,27.21166667
2019/7/27 16:00,26.58333333,26.37833333,27.5,27.08166667,27.285
2019/7/27 17:00,26.65166667,26.44333333,27.5,27.1,27.3
2019/7/27 18:00,26.7,26.5,27.46666667,27.06333333,27.3
2019/7/27 19:00,26.7,26.5,27.37166667,26.95,27.21166667
2019/7/27 20:00,26.7,26.42,27.26833333,26.84833333,27.09666667
2019/7/27 21:00,26.63666667,26.35666667,27.15166667,26.74666667,26.965
2019/7/27 22:00,26.56166667,26.26666667,27.025,26.625,26.825
2019/7/27 23:00,26.475,26.15833333,26.85666667,26.48666667,26.65833333
2019/7/28 0:00,26.375,26.04333333,26.69666667,26.355,26.52166667
2019/7/28 1:00,26.3,25.96666667,26.57333333,26.24333333,26.4
2019/7/28 2:00,26.205,25.89166667,26.46,26.13666667,26.27666667
2019/7/28 3:00,26.12,25.79166667,26.325,26.02,26.155
2019/7/28 4:00,26.02,25.67833333,26.17,25.88333333,26.01166667
2019/7/28 5:00,25.97333333,25.62,26.17333333,25.88333333,25.95166667
2019/7/28 6:00,26.065,25.745,26.53666667,26.11166667,26.14666667
2019/7/28 7:00,26.19,25.855,26.78166667,26.30666667,26.34333333
2019/7/28 8:00,26.34833333,26.09833333,27.36833333,26.55166667,26.63
2019/7/28 9:00,26.4,26.2,27.83333333,26.6,26.66333333
2019/7/28 10:00,26.41833333,26.31833333,28.05166667,26.74666667,26.92166667
2019/7/28 11:00,26.54333333,26.52833333,28.26,27.05,27.31666667
2019/7/28 12:00,26.675,26.71666667,28.425,27.28,27.68666667
2019/7/28 13:00,26.85833333,26.88166667,28.58666667,27.57833333,28.08333333
2019/7/28 14:00,26.97833333,26.93666667,28.665,27.75833333,28.27
2019/7/28 15:00,27.07166667,26.905,28.59833333,27.75,28.26166667
2019/7/28 16:00,27.1,26.9,28.46833333,27.67333333,28.21333333
2019/7/28 17:00,27.075,26.87833333,28.31166667,27.53166667,28.07333333
2019/7/28 18:00,27,26.775,28.10166667,27.34833333,27.87
2019/7/28 19:00,26.90833333,26.65666667,27.89,27.18,27.64833333
2019/7/28 20:00,26.77,26.495,27.67666667,26.99,27.39333333
2019/7/28 21:00,26.61,26.27333333,27.43833333,26.73666667,27.13833333
2019/7/28 22:00,26.41666667,26.045,27.18833333,26.49,26.88
2019/7/28 23:00,25.33333333,24.955,26.02666667,25.35166667,25.71333333
