,洗面所,リビング,2Fホール,洋室東,洋室西
2019/8/10 0:00,27.05666667,25.9,29.49833333,28.07833333,27.59
2019/8/10 1:00,27.01,25.885,29.24166667,27.89333333,27.44166667
2019/8/10 2:00,26.935,25.79166667,29.005,27.72166667,27.26
2019/8/10 3:00,26.89333333,25.7,28.78833333,27.56833333,27.08833333
2019/8/10 4:00,26.80833333,25.70166667,28.58,27.44833333,26.95
2019/8/10 5:00,26.74833333,25.6,28.39166667,27.32,26.80333333
2019/8/10 6:00,26.8,25.675,28.22666667,27.205,26.83
2019/8/10 7:00,26.8,25.73666667,28.04,27.06666667,26.98166667
2019/8/10 8:00,26.86,25.955,27.85333333,26.93666667,27.27166667
2019/8/10 9:00,26.985,26.1,27.70833333,26.85666667,27.61
2019/8/10 10:00,27.05,26.24,27.60333333,26.825,27.965
2019/8/10 11:00,27.165,26.36833333,27.855,26.98,28.32166667
2019/8/10 12:00,27.25666667,26.52666667,28.725,27.09333333,28.665
2019/8/10 13:00,27.29833333,26.535,29.50666667,27.30333333,28.885
2019/8/10 14:00,27.3,26.5,29.865,27.52166667,28.975
2019/8/10 15:00,27.30833333,26.43333333,30.045,27.68833333,28.995
2019/8/10 16:00,27.31833333,26.35333333,30.20166667,27.985,28.9
2019/8/10 17:00,27.35166667,26.29833333,30.32,28.13166667,28.83833333
2019/8/10 18:00,27.3,26.20333333,30.39833333,28.27833333,28.59
2019/8/10 19:00,27.26333333,26.15833333,30.38333333,28.36333333,28.36166667
2019/8/10 20:00,27.2,26.07833333,30.32833333,28.48166667,28.125
2019/8/10 21:00,27.1440678,26,30.14745763,28.45423729,27.92881356
2019/8/10 22:00,27.09666667,25.92166667,29.995,28.575,27.745
2019/8/10 23:00,27,25.83833333,29.73,28.24666667,27.55166667
2019/8/11 0:00,26.93333333,25.79,29.455,27.95,27.36166667
2019/8/11 1:00,26.885,25.7,29.18833333,27.75666667,27.19666667
2019/8/11 2:00,26.8,25.68833333,28.925,27.59833333,27.02333333
2019/8/11 3:00,26.76666667,25.605,28.69166667,27.45166667,26.87166667
2019/8/11 4:00,26.7,25.6,28.47333333,27.295,26.73333333
2019/8/11 5:00,26.7,25.57833333,28.25833333,27.17833333,26.60833333
2019/8/11 6:00,26.7,25.585,28.06,27.04666667,26.66833333
2019/8/11 7:00,26.7,25.60333333,27.865,26.91,26.745
2019/8/11 8:00,26.80166667,25.71,27.695,26.82,26.93
2019/8/11 9:00,26.9,25.81833333,27.52833333,26.70333333,27.245
2019/8/11 10:00,26.93666667,25.945,27.415,26.71833333,27.57
2019/8/11 11:00,27.02,26.15,27.56666667,26.84666667,27.94
2019/8/11 12:00,27.1,26.27333333,28,27.00333333,28.20333333
2019/8/11 13:00,27.12666667,26.3,28.06166667,27.15166667,28.3
2019/8/11 14:00,27.2,26.365,28.48333333,27.405,28.33333333
2019/8/11 15:00,27.21333333,26.27833333,28.89833333,27.555,28.4
2019/8/11 16:00,27.22333333,26.2,29.21166667,27.72,28.36333333
2019/8/11 17:00,27.2,26.10166667,29.43166667,27.82666667,28.225
2019/8/11 18:00,27.12833333,26.03,29.5,27.9,27.99166667
2019/8/11 19:00,27.09666667,25.915,29.5,27.99666667,27.76
2019/8/11 20:00,27.00166667,25.82,29.49833333,28.09166667,27.555
2019/8/11 21:00,26.93166667,25.71,29.38166667,28.10166667,27.36833333
2019/8/11 22:00,26.84166667,25.61833333,29.22666667,28.01166667,27.17166667
2019/8/11 23:00,26.8,25.6,28.99666667,27.78,26.98833333
2019/8/12 0:00,26.77,25.59833333,28.725,27.55,26.85166667
2019/8/12 1:00,26.7,25.53833333,28.455,27.39,26.725
2019/8/12 2:00,26.69166667,25.5,28.19666667,27.23166667,26.595
2019/8/12 3:00,26.6,25.46,27.95333333,27.06166667,26.46833333
2019/8/12 4:00,26.53166667,25.395,27.755,26.96833333,26.34666667
2019/8/12 5:00,26.48666667,25.315,27.58666667,26.84666667,26.24
2019/8/12 6:00,26.40166667,25.3,27.43666667,26.76333333,26.2
2019/8/12 7:00,26.43166667,25.29666667,27.28166667,26.64666667,26.25166667
2019/8/12 8:00,26.5,25.34833333,27.14666667,26.54166667,26.52333333
2019/8/12 9:00,26.595,25.57,27.01833333,26.43833333,26.9
2019/8/12 10:00,26.70666667,25.76333333,26.9,26.35833333,27.38833333
2019/8/12 11:00,26.8,25.845,26.805,26.38833333,27.48166667
2019/8/12 12:00,26.78,25.76333333,26.88666667,26.53,27.41166667
2019/8/12 13:00,26.86166667,25.835,27.165,26.78666667,27.62833333
2019/8/12 14:00,26.9,25.9,27.90833333,27.05333333,27.72
2019/8/12 15:00,26.9,25.9,28.48166667,27.30166667,27.81833333
2019/8/12 16:00,26.995,25.9,28.785,27.45833333,27.855
2019/8/12 17:00,27,25.9,28.64666667,27.24,27.8
2019/8/12 18:00,27,25.9,28.72,27.51833333,27.72
2019/8/12 19:00,26.94833333,25.87833333,28.8,27.60166667,27.58166667
2019/8/12 20:00,26.895,25.8,28.85166667,27.545,27.45166667
2019/8/12 21:00,26.8,25.71166667,28.88166667,27.67833333,27.31
2019/8/12 22:00,26.73833333,25.65333333,28.78166667,27.75666667,27.155
2019/8/12 23:00,26.7,25.67166667,28.62666667,27.54833333,27.04333333
2019/8/13 0:00,26.65,25.58666667,28.44833333,27.40333333,26.89
2019/8/13 1:00,26.6,25.505,28.265,27.27,26.74833333
2019/8/13 2:00,26.6,25.5,28.09,27.14333333,26.64333333
2019/8/13 3:00,26.525,25.48666667,27.92166667,27.02166667,26.53
2019/8/13 4:00,26.5,25.41,27.77666667,26.96833333,26.41
2019/8/13 5:00,26.43333333,25.38666667,27.64,26.81666667,26.30166667
2019/8/13 6:00,26.47333333,25.40333333,27.47833333,26.71666667,26.38333333
2019/8/13 7:00,26.52666667,25.53,27.34666667,26.64666667,26.60833333
2019/8/13 8:00,26.62833333,25.68166667,27.21166667,26.56666667,26.83
2019/8/13 9:00,26.72333333,25.7,27.07166667,26.46166667,26.92666667
2019/8/13 10:00,26.81833333,25.79833333,27.00666667,26.41833333,27.31166667
2019/8/13 11:00,26.91,25.89166667,27.30833333,26.59833333,27.57666667
2019/8/13 12:00,26.98666667,25.93833333,28.22,26.80166667,27.62166667
2019/8/13 13:00,26.98333333,26.06333333,28.54,27.03333333,27.82833333
2019/8/13 14:00,27.05333333,26.18333333,28.46333333,27.21333333,28.145
2019/8/13 15:00,27.08,26.13166667,28.62666667,27.47666667,28.24666667
2019/8/13 16:00,27,26.055,28.9,27.73,28.19833333
2019/8/13 17:00,27,26,29,27.68833333,28.055
2019/8/13 18:00,27,26,29.055,27.61333333,27.86333333
2019/8/13 19:00,26.93833333,25.90333333,29.25166667,27.87666667,27.70166667
2019/8/13 20:00,26.9,25.86333333,29.325,28.04666667,27.55333333
2019/8/13 21:00,26.815,25.8,29.23833333,27.90333333,27.36
2019/8/13 22:00,26.80833333,25.755,29.08833333,27.81333333,27.23333333
2019/8/13 23:00,26.8,25.7,28.86833333,27.585,27.085
2019/8/14 0:00,26.71833333,25.67833333,28.64,27.42666667,26.96333333
2019/8/14 1:00,26.7,25.6,28.42833333,27.3,26.83333333
2019/8/14 2:00,26.64333333,25.59833333,28.22166667,27.195,26.72166667
2019/8/14 3:00,26.6,25.52,28.03833333,27.08,26.60833333
2019/8/14 3:59,26.56333333,25.49666667,27.85166667,26.995,26.48333333
2019/8/14 4:59,26.5,25.43833333,27.71333333,26.88833333,26.4
2019/8/14 5:59,26.535,25.465,27.55333333,26.76166667,26.50166667
2019/8/14 6:59,26.60166667,25.52333333,27.43333333,26.69833333,26.68
2019/8/14 7:59,26.7,25.66833333,27.3,26.605,26.955
2019/8/14 8:59,26.7,25.76,27.165,26.515,27.135
2019/8/14 9:59,26.84666667,25.82333333,27.1,26.5,27.435
2019/8/14 10:59,26.91,25.86,27.365,26.70833333,27.575
2019/8/14 11:59,27,25.91166667,27.845,26.89833333,27.79166667
2019/8/14 12:59,26.955,25.90833333,28.28,27.16166667,27.71333333
2019/8/14 13:59,26.9,25.825,28.55166667,27.17666667,27.66666667
2019/8/14 14:59,26.9,25.8,28.72833333,27.51333333,27.63333333
2019/8/14 15:59,26.9,25.755,28.93833333,27.58666667,27.57
2019/8/14 16:59,26.9,25.7,29.09666667,27.78333333,27.47833333
2019/8/14 17:59,26.82,25.69833333,29.03833333,27.575,27.31
2019/8/14 18:59,26.8,25.7,28.9,27.425,27.165
2019/8/14 19:59,26.8,25.7,28.83833333,27.48833333,27.04333333
2019/8/14 20:59,26.785,25.7,28.75833333,27.49166667,26.955
2019/8/14 21:59,26.7,25.61666667,28.59666667,27.36333333,26.83666667
2019/8/14 22:59,25.79333333,24.74666667,27.45333333,26.26666667,25.84333333
