,洗面所,リビング,2Fホール,洋室東,洋室西
2019/8/21 0:00,25.57333333,24.82666667,25.69166667,25.15166667,25.34166667
2019/8/21 1:00,25.47833333,24.725,25.51666667,25.02333333,25.16666667
2019/8/21 2:00,25.37333333,24.62,25.34833333,24.88333333,25.02166667
2019/8/21 3:00,25.26333333,24.51666667,25.19,24.77,24.87166667
2019/8/21 4:00,25.15333333,24.42833333,25.045,24.65166667,24.74
2019/8/21 5:00,25.05333333,24.30666667,24.915,24.6,24.61166667
2019/8/21 6:00,25,24.26666667,24.96166667,24.62166667,24.575
2019/8/21 7:00,25.00166667,24.3,25.28166667,24.785,24.66333333
2019/8/21 8:00,25.02333333,24.41833333,25.72666667,24.95333333,24.96
2019/8/21 9:00,25.13833333,24.68333333,26.40333333,25.17666667,25.27833333
2019/8/21 10:00,25.29833333,24.925,26.76333333,25.49666667,25.71
2019/8/21 11:00,25.51,25.08666667,26.995,25.86666667,26.01
2019/8/21 12:00,25.685,25.285,27.225,26.04333333,26.36833333
2019/8/21 13:00,25.87833333,25.52,27.44166667,26.39666667,26.795
2019/8/21 14:00,26.08,25.65833333,27.525,26.59666667,26.94666667
2019/8/21 15:00,26.08333333,25.595,27.41,26.425,26.73666667
2019/8/21 16:00,25.87,25.32,27.10666667,26.1,26.41333333
2019/8/21 17:00,25.76,25.20833333,26.82833333,25.915,26.24
2019/8/21 18:00,25.7,25.12,26.59166667,25.76166667,26.07
2019/8/21 19:00,25.7,25.1,26.42,25.68333333,25.93333333
2019/8/21 20:00,25.7,25.1,26.275,25.59666667,25.89333333
2019/8/21 21:00,25.7,25.1,26.135,25.5,25.78333333
2019/8/21 22:00,25.62,25.00666667,25.97666667,25.41,25.65
2019/8/21 23:00,25.6,24.985,25.845,25.31333333,25.525
2019/8/22 0:00,25.535,24.9,25.71833333,25.22166667,25.38333333
2019/8/22 1:00,25.46333333,24.79,25.56833333,25.09333333,25.24833333
2019/8/22 2:00,25.38666667,24.69333333,25.44333333,24.97833333,25.11166667
2019/8/22 3:00,25.29166667,24.58833333,25.3,24.85666667,24.98166667
2019/8/22 4:00,25.2,24.495,25.155,24.75333333,24.85666667
2019/8/22 5:00,25.1,24.4,25.025,24.65833333,24.725
2019/8/22 6:00,25.025,24.315,24.94333333,24.6,24.64166667
2019/8/22 7:00,25.00166667,24.27666667,24.9,24.605,24.6
2019/8/22 8:00,24.93666667,24.20333333,24.9,24.60333333,24.6
2019/8/22 9:00,24.9,24.2,24.965,24.67666667,24.6
2019/8/22 10:00,24.945,24.22833333,25.095,24.86666667,24.74166667
2019/8/22 11:00,25.07166667,24.37,25.49333333,25.19833333,25.12333333
2019/8/22 12:00,25.11,24.49166667,25.65666667,25.185,25.26833333
2019/8/22 13:00,25.24666667,24.61833333,25.86333333,25.46333333,25.49833333
2019/8/22 14:00,25.40166667,24.805,26.17666667,25.68166667,25.77833333
2019/8/22 15:00,25.50333333,24.945,26.36166667,25.75666667,25.91666667
2019/8/22 16:00,25.57833333,25.04,26.39,25.75166667,25.94166667
2019/8/22 17:00,25.6,25.1,26.36166667,25.73,25.9
2019/8/22 18:00,25.60833333,25.1,26.25166667,25.62,25.9
2019/8/22 19:00,25.60166667,25.1,26.16333333,25.59666667,25.86666667
2019/8/22 20:00,25.6,25.1,26.05166667,25.50166667,25.77333333
2019/8/22 21:00,25.6,25.02333333,25.93666667,25.44333333,25.665
2019/8/22 22:00,25.555,24.99166667,25.81666667,25.34833333,25.53166667
2019/8/22 23:00,25.5,24.90333333,25.685,25.25333333,25.41833333
2019/8/23 0:00,25.42166667,24.86,25.56833333,25.16833333,25.30166667
2019/8/23 1:00,25.38166667,24.8,25.47,25.08833333,25.195
2019/8/23 2:00,25.3,24.72,25.37,25,25.1
2019/8/23 3:00,25.25166667,24.7,25.3,24.93,25.01333333
2019/8/23 4:00,25.2,24.60833333,25.21666667,24.9,24.95
2019/8/23 5:00,25.11666667,24.57166667,25.17666667,24.80666667,24.88333333
2019/8/23 6:00,25.1,24.5,25.1,24.8,24.8
2019/8/23 7:00,25.00166667,24.43333333,25.03166667,24.72166667,24.74833333
2019/8/23 8:00,25,24.39666667,25,24.7,24.7
2019/8/23 9:00,24.97333333,24.32166667,25,24.78166667,24.7
2019/8/23 10:00,24.9,24.30333333,25,24.72166667,24.68
2019/8/23 11:00,24.965,24.37,25.15166667,24.90333333,24.87333333
2019/8/23 12:00,25,24.40166667,25.295,24.99666667,24.925
2019/8/23 13:00,25.07333333,24.5,25.45166667,25.12833333,25.07666667
2019/8/23 14:00,25.11666667,24.54833333,25.55166667,25.14166667,25.1
2019/8/23 15:00,25.2,24.6,25.6,25.10166667,25.1
2019/8/23 16:00,25.2,24.6,25.59,25.08333333,25.11166667
2019/8/23 17:00,25.2,24.65666667,25.6,25.1,25.14
2019/8/23 18:00,25.2,24.69333333,25.51666667,25.02333333,25.10166667
2019/8/23 19:00,25.2,24.60333333,25.45666667,24.96,25.04666667
2019/8/23 20:00,25.13833333,24.59833333,25.35833333,24.9,24.99833333
2019/8/23 21:00,25.1,24.52,25.255,24.82,24.9
2019/8/23 22:00,25.03666667,24.47333333,25.15666667,24.74833333,24.81333333
2019/8/23 23:00,25,24.4,25.04833333,24.66666667,24.71666667
2019/8/24 0:00,24.90166667,24.32166667,24.93833333,24.58833333,24.62166667
2019/8/24 1:00,24.84333333,24.26666667,24.84,24.5,24.51333333
2019/8/24 2:00,24.78833333,24.19,24.735,24.4,24.43333333
2019/8/24 3:00,24.7,24.10166667,24.61833333,24.31166667,24.335
2019/8/24 4:00,24.62,24.01166667,24.52833333,24.23833333,24.23
2019/8/24 5:00,24.55666667,23.93333333,24.41666667,24.2,24.13833333
2019/8/24 6:00,24.51,23.9,24.58166667,24.275,24.14
2019/8/24 7:00,24.55833333,24.01333333,25.06666667,24.44833333,24.38
2019/8/24 8:00,24.63333333,24.16833333,25.59166667,24.63,24.69666667
2019/8/24 9:00,24.76333333,24.42166667,26.21333333,24.94833333,25.11666667
2019/8/24 10:00,24.94833333,24.68833333,26.59833333,25.28166667,25.56
2019/8/24 11:00,25.14166667,24.89833333,26.88833333,25.60833333,25.98333333
2019/8/24 12:00,25.33666667,25.18,27.15166667,25.83666667,26.43333333
2019/8/24 13:00,25.52833333,25.42,27.30333333,26.12166667,26.795
2019/8/24 14:00,25.72166667,25.63333333,27.43666667,26.49166667,27.00833333
2019/8/24 15:00,25.71333333,25.45833333,27.39666667,26.60333333,26.83166667
2019/8/24 16:00,25.54166667,25.225,27.12,26.315,26.57833333
2019/8/24 17:00,25.5,25.2,26.90166667,26.16333333,26.50333333
2019/8/24 18:00,25.5,25.145,26.67666667,25.99333333,26.36166667
2019/8/24 19:00,25.45166667,25.09333333,26.46333333,25.85833333,26.20833333
2019/8/24 20:00,25.53666667,25.19333333,26.4,25.89333333,26.18166667
2019/8/24 21:00,25.6,25.2,26.30666667,25.805,26.1
2019/8/24 22:00,25.6,25.2,26.18833333,25.735,26
2019/8/24 23:00,25.6,25.135,26.05666667,25.62,25.89833333
