,洗面所,リビング,2Fホール,洋室東,洋室西
2020/1/17 0:00,21.9,21.72,21.68,21.14,21.3
2020/1/17 1:00,21.85,21.73,21.02,21.04,21.24
2020/1/17 2:00,21.83,21.7,21,20.97,21.21
2020/1/17 3:00,21.8,21.65,21,20.88,21.2
2020/1/17 4:00,21.75,21.63,21,20.77,21.12
2020/1/17 5:00,21.7,21.55,21,20.7,21.05
2020/1/17 6:00,21.7,21.5,21.27,20.6,21
2020/1/17 7:00,21.6,21.45,21.3,20.6,21
2020/1/17 8:00,21.53,21.4,20.68,20.66,21.14
2020/1/17 9:00,21.51,21.55,20,20.85,21.34
2020/1/17 10:00,21.59,22.19,20.74,21.64,22.08
2020/1/17 11:00,21.63,22.82,22.49,22.07,23.46
2020/1/17 12:00,21.74,23.41,23.43,22.47,24.35
2020/1/17 13:00,21.91,23.54,23.98,22.79,24.77
2020/1/17 14:00,22.07,23.32,23.78,22.84,24.38
2020/1/17 15:00,22.17,23,23.36,22.6,23.91
2020/1/17 16:00,22.2,22.82,23,22.35,23.57
2020/1/17 17:00,22.2,22.66,22.68,22.16,23.3
2020/1/17 18:00,22.2,22.53,22.4,22.02,23.1
2020/1/17 19:00,22.2,22.4,22.17,21.92,22.94
2020/1/17 20:00,22.19,22.27,21.95,21.83,22.76
2020/1/17 21:00,22.1,22.15,21.75,21.7,22.59
2020/1/17 22:00,22.02,22.02,21.56,21.59,22.44
2020/1/17 23:00,22,21.95,21.42,21.55,22.38
2020/1/18 0:00,22.03,22.03,21.39,21.6,22.46
2020/1/18 1:00,21.95,21.93,21.26,21.47,22.25
2020/1/18 2:00,21.84,21.8,21.13,21.36,22.09
2020/1/18 3:00,21.86,21.78,21.09,21.36,22.14
2020/1/18 4:00,21.84,21.77,21.02,21.32,22.08
2020/1/18 5:00,21.8,21.73,20.9,21.28,22.06
2020/1/18 6:00,21.75,21.75,20.92,21.24,22.06
2020/1/18 7:00,21.75,21.77,20.89,21.25,22.08
2020/1/18 8:00,21.68,21.7,20.8,21.2,21.94
2020/1/18 9:00,21.66,21.7,20.79,21.22,21.97
2020/1/18 10:00,21.53,21.7,20.79,21.26,22
2020/1/18 11:00,21.42,21.7,20.76,21.25,21.98
2020/1/18 12:00,21.42,21.66,20.75,21.24,21.94
2020/1/18 13:00,21.33,21.51,20.64,21.1,21.77
2020/1/18 14:00,21.39,21.5,20.6,21.1,21.8
2020/1/18 15:00,21.4,21.5,20.6,21,21.79
2020/1/18 16:00,21.41,21.45,20.54,20.94,21.73
2020/1/18 17:00,21.4,21.4,20.48,20.89,21.68
2020/1/18 18:00,21.4,21.33,20.4,20.79,21.55
2020/1/18 19:00,21.4,21.31,20.4,20.8,21.6
2020/1/18 20:00,21.4,21.3,20.31,20.74,21.53
2020/1/18 21:00,21.4,21.3,20.3,20.77,21.57
2020/1/18 22:00,21.4,21.26,20.25,20.7,21.47
2020/1/18 23:00,21.38,21.2,20.2,20.68,21.4
2020/1/19 0:00,21.3,21.16,20.13,20.6,21.32
2020/1/19 1:00,21.3,21.13,20.1,20.6,21.39
2020/1/19 2:00,21.3,21.12,20.1,20.58,21.33
2020/1/19 3:00,21.3,21.1,20.03,20.51,21.3
2020/1/19 4:00,21.22,21.01,20,20.49,21.21
2020/1/19 5:00,21.2,21,19.95,20.42,21.2
2020/1/19 6:00,21.2,20.91,19.9,20.39,21.2
2020/1/19 7:00,21.2,20.95,20.15,20.45,21.35
2020/1/19 8:00,21.2,21.56,21.63,20.86,22.69
2020/1/19 9:00,21.31,22.66,22.67,21.49,24.08
2020/1/19 10:00,21.48,23.33,23.88,22.13,24.85
2020/1/19 11:00,21.64,23.8,24.61,22.53,25.47
2020/1/19 12:00,21.81,24.06,25.07,22.86,25.66
2020/1/19 13:00,22.03,24.08,25.39,23.15,25.82
2020/1/19 14:00,22.24,24.29,25.3,23.34,25.63
2020/1/19 15:00,22.39,24.11,25.06,23.35,25.35
2020/1/19 16:00,22.5,23.55,24.34,23.04,24.73
2020/1/19 17:00,22.52,23.29,23.77,22.75,24.25
2020/1/19 18:00,22.5,23.09,23.34,22.56,23.86
2020/1/19 19:00,22.5,22.89,22.96,22.37,23.58
2020/1/19 20:00,22.43,22.71,22.63,22.2,23.32
2020/1/19 21:00,22.4,22.56,22.32,22.05,23.11
2020/1/19 22:00,22.31,22.39,22.06,21.92,22.91
2020/1/19 23:00,22.22,22.22,21.82,21.78,22.72
2020/1/20 0:00,22.16,22.08,21.62,21.66,22.56
2020/1/20 1:00,22.05,21.92,21.39,21.49,22.35
2020/1/20 2:00,21.99,21.8,21.21,21.4,22.27
2020/1/20 3:00,21.94,21.75,21.08,21.33,22.18
2020/1/20 4:00,21.9,21.69,20.95,21.23,22.11
2020/1/20 5:00,21.79,21.54,20.75,21.08,21.93
2020/1/20 6:00,21.7,21.46,20.64,20.99,21.84
2020/1/20 7:00,21.6,21.44,20.82,21.01,21.94
2020/1/20 8:00,21.6,22,22.28,21.35,23.26
2020/1/20 9:00,21.67,22.95,23.21,21.87,24.5
2020/1/20 10:00,21.74,23.46,24.3,22.37,25.12
2020/1/20 11:00,21.9,24.02,25.01,22.83,25.77
2020/1/20 12:00,22.13,24.42,25.5,23.23,26.06
2020/1/20 13:00,22.37,24.57,25.88,23.54,26.3
2020/1/20 14:00,22.62,24.85,25.87,23.79,26.19
2020/1/20 15:00,22.85,24.71,25.78,23.89,26.02
2020/1/20 16:00,22.99,24.26,25.2,23.75,25.52
2020/1/20 17:00,23.09,24.03,24.63,23.52,25.08
2020/1/20 18:00,23.1,23.83,24.2,23.33,24.72
2020/1/20 19:00,23.1,23.62,23.81,23.15,24.38
2020/1/20 20:00,23.01,23.42,23.47,22.94,24.13
2020/1/20 21:00,22.96,23.23,23.16,22.76,23.86
2020/1/20 22:00,22.85,23.01,22.84,22.54,23.6
2020/1/20 23:00,22.75,22.8,22.53,22.36,23.38
2020/1/21 0:00,22.63,22.59,22.23,22.16,23.13
2020/1/21 1:00,22.48,22.38,21.94,21.97,22.89
2020/1/21 2:00,22.34,22.17,21.68,21.79,22.67
2020/1/21 3:00,22.3,22.17,21.56,21.75,22.68
2020/1/21 4:00,22.21,22.02,21.35,21.6,22.43
2020/1/21 5:00,22.05,21.86,21.14,21.44,22.22
2020/1/21 6:00,22,21.8,21,21.35,22.15
2020/1/21 7:00,21.97,21.85,21.28,21.44,22.31
2020/1/21 8:00,21.96,22.41,22.82,21.77,23.65
2020/1/21 9:00,22.01,23.37,23.76,22.36,24.96
2020/1/21 10:00,22.15,23.9,24.84,22.89,25.58
2020/1/21 11:00,22.34,24.43,25.49,23.31,26.22
2020/1/21 12:00,22.55,24.74,25.86,23.59,26.38
2020/1/21 13:00,22.71,24.82,26.17,23.83,26.59
2020/1/21 14:00,22.85,25.08,26.05,24,26.38
2020/1/21 15:00,22.96,24.8,25.84,23.95,26.09
2020/1/21 16:00,23,24.18,25.13,23.62,25.47
2020/1/21 17:00,22.91,23.79,24.4,23.25,24.86
2020/1/21 18:00,22.89,23.52,23.87,23.01,24.43
2020/1/21 19:00,22.8,23.29,23.45,22.79,24.1
2020/1/21 20:00,22.71,23.06,23.05,22.54,23.78
2020/1/21 21:00,22.6,22.81,22.7,22.31,23.48
2020/1/21 22:00,22.48,22.57,22.35,22.09,23.2
2020/1/21 23:00,22.34,22.36,22.03,21.91,22.93
