,洗面所,リビング,2Fホール,洋室東,洋室西
2019/12/27 0:00,21,21.4,20.5,20.80666667,21.6
2019/12/27 1:00,21,21.4,20.44333333,20.81,21.59333333
2019/12/27 2:00,21,21.36666667,20.4,20.78,21.515
2019/12/27 3:00,21,21.3,20.38,20.74666667,21.5
2019/12/27 4:00,20.945,21.3,20.3,20.70666667,21.495
2019/12/27 5:00,20.9,21.29333333,20.3,20.69166667,21.425
2019/12/27 6:00,20.905,21.27833333,20.3,20.655,21.48166667
2019/12/27 7:00,21,21.4,20.42,20.82166667,21.66333333
2019/12/27 8:00,21.05333333,22.20833333,21.59,21.20666667,23.075
2019/12/27 9:00,21.17666667,23.42833333,23,21.78666667,24.76
2019/12/27 10:00,21.35833333,23.89333333,24.30166667,22.19,25.39333333
2019/12/27 11:00,21.52833333,24.14333333,24.64833333,22.475,25.65333333
2019/12/27 12:00,21.71833333,24.76833333,25.62833333,22.885,26.61833333
2019/12/27 13:00,21.86,24.86333333,26.14833333,22.995,26.79
2019/12/27 14:00,21.95,25.25833333,26,23.075,26.53166667
2019/12/27 15:00,22.02833333,24.5875,25.69,23.01333333,26.10333333
2019/12/27 16:00,22.1,23.82333333,24.895,22.86833333,25.39
2019/12/27 17:00,22.03833333,23.45,24.245,22.55,24.81166667
2019/12/27 18:00,21.97833333,23.15166667,23.70666667,22.36666667,24.34833333
2019/12/27 19:00,21.87166667,22.84833333,23.25333333,22.18333333,23.92333333
2019/12/27 20:00,21.74666667,22.54833333,22.82666667,21.96,23.565
2019/12/27 21:00,21.63166667,22.29166667,22.43722222,21.7887037,23.255
2019/12/27 22:00,21.48333333,22.035,22.06166667,21.6,22.93666667
2019/12/27 23:00,21.34333333,21.80833333,21.73166667,21.39,22.645
2019/12/28 0:00,21.18333333,21.585,21.415,21.19666667,22.33666667
2019/12/28 1:00,21.03166667,21.37,21.10333333,20.98833333,22.06333333
2019/12/28 2:00,20.90166667,21.3,20.905,20.94333333,22
2019/12/28 3:00,20.805,21.19,20.67666667,20.78166667,21.865
2019/12/28 4:00,20.68333333,21.06333333,20.495,20.7,21.755
2019/12/28 5:00,20.58333333,20.98666667,20.31,20.59166667,21.67166667
2019/12/28 6:00,20.45666667,20.85,20.12833333,20.455,21.505
2019/12/28 7:00,20.4,20.845,20.34666667,20.475,21.815
2019/12/28 8:00,20.4,21.69,21.805,20.705,23.45166667
2019/12/28 9:00,20.4,22.77166667,22.84,21.06833333,24.65166667
2019/12/28 10:00,20.47333333,23.40666667,24.21,21.38833333,25.26833333
2019/12/28 11:00,20.61166667,23.985,24.98333333,21.76666667,25.97166667
2019/12/28 12:00,20.76333333,24.15666667,25.50166667,22.05333333,26.48166667
2019/12/28 13:00,20.92166667,24.215,25.88166667,22.27333333,26.67333333
2019/12/28 14:00,21.06666667,24.71666667,25.72666667,22.4,26.44166667
2019/12/28 15:00,21.18833333,24.1,25.42333333,22.345,25.98666667
2019/12/28 16:00,21.2,23.35666667,24.56,22.20166667,25.175
2019/12/28 17:00,21.2,22.95,23.87,21.91833333,24.51333333
2019/12/28 18:00,21.2,22.61166667,23.31833333,21.69666667,23.99833333
2019/12/28 19:00,21.11333333,22.31833333,22.815,21.53,23.59
2019/12/28 20:00,21.03666667,22.03833333,22.36833333,21.38666667,23.23666667
2019/12/28 21:00,20.92833333,21.78166667,21.945,21.20166667,22.87166667
2019/12/28 22:00,20.795,21.535,21.58166667,21.03166667,22.545
2019/12/28 23:00,20.65333333,21.33333333,21.25,20.84666667,22.24
2019/12/29 0:00,20.6,21.29833333,21.04,20.865,22.19666667
2019/12/29 1:00,20.51333333,21.145,20.80833333,20.70333333,22.02166667
2019/12/29 2:00,20.46166667,21.08166667,20.62666667,20.64833333,21.95333333
2019/12/29 3:00,20.34,20.925,20.39,20.45833333,21.71833333
2019/12/29 4:00,20.215,20.75166667,20.15833333,20.30333333,21.52833333
2019/12/29 5:00,20.10833333,20.695,19.97333333,20.22666667,21.47833333
2019/12/29 6:00,20.06833333,20.685,19.87,20.19166667,21.47833333
2019/12/29 7:00,20,20.62833333,20.08333333,20.19,21.68666667
2019/12/29 8:00,19.96833333,21.47333333,21.485,20.40666667,23.29166667
2019/12/29 9:00,20,22.54166667,22.51,20.75166667,24.50333333
2019/12/29 10:00,20.06166667,23.14333333,23.86,21.12,25.18166667
2019/12/29 11:00,20.235,23.79666667,24.71833333,21.55166667,25.84833333
2019/12/29 12:00,20.43166667,23.99666667,25.29833333,21.81833333,26.45333333
2019/12/29 13:00,20.64166667,24.12833333,25.755,22.10333333,26.70166667
2019/12/29 14:00,20.86166667,24.52,25.64333333,22.28166667,26.46666667
2019/12/29 15:00,21.05666667,24.035,25.33833333,22.3,26.01666667
2019/12/29 16:00,21.18333333,23.41166667,24.54833333,22.20666667,25.26833333
2019/12/29 17:00,21.2,23.12666667,23.94,22.08666667,24.72666667
2019/12/29 18:00,21.2,22.88833333,23.47333333,21.87666667,24.27666667
2019/12/29 19:00,21.2,22.69166667,23.05666667,21.78166667,23.92333333
2019/12/29 20:00,21.2,22.545,22.72,21.72666667,23.675
2019/12/29 21:00,21.2,22.375,22.42,21.65166667,23.43833333
2019/12/29 22:00,21.17333333,22.225,22.145,21.595,23.21166667
2019/12/29 23:00,21.1,22.06333333,21.90333333,21.485,23.00666667
2019/12/30 0:00,21.08833333,21.93,21.69,21.39833333,22.805
2019/12/30 1:00,21,21.835,21.51833333,21.32166667,22.67
2019/12/30 2:00,20.99166667,21.74,21.34666667,21.23666667,22.535
2019/12/30 3:00,20.9,21.645,21.17833333,21.14166667,22.385
2019/12/30 4:00,20.84333333,21.55,21.03,21.07666667,22.25333333
2019/12/30 5:00,20.8,21.46666667,20.87333333,20.99,22.12833333
2019/12/30 6:00,20.72166667,21.38833333,20.745,20.91166667,21.985
2019/12/30 7:00,20.7,21.3,20.63,20.86166667,21.87333333
2019/12/30 8:00,20.6,21.265,20.53333333,20.80166667,21.8
2019/12/30 9:00,20.6,21.2,20.46333333,20.79833333,21.71333333
2019/12/30 10:00,20.6,21.19666667,20.4,20.81,21.67833333
2019/12/30 11:00,20.6,21.19833333,20.4,20.905,21.645
2019/12/30 12:00,20.6,21.2,20.42,20.92166667,21.7
2019/12/30 13:00,20.6,21.22166667,20.47,20.87833333,21.7
2019/12/30 14:00,20.65,21.32666667,20.58666667,21.03833333,21.78666667
2019/12/30 15:00,20.7,21.3,20.6,20.98166667,21.8
2019/12/30 16:00,20.7,21.3,20.52166667,20.80666667,21.76833333
