,洗面所,リビング,2Fホール,洋室東,洋室西
2019/12/21 0:00,20.46333,20.91667,20.24,20.32167,21.445
2019/12/21 1:00,20.62833,21.05167,20.3,20.40667,21.51333
2019/12/21 2:00,20.76167,21.16333,20.3,20.505,21.6
2019/12/21 3:00,20.86167,21.19667,20.34667,20.55,21.625
2019/12/21 4:00,20.94167,21.28333,20.4,20.60667,21.67167
2019/12/21 5:00,21,21.3,20.4,20.695,21.67667
2019/12/21 6:00,21,21.28333,20.32333,20.61333,21.585
2019/12/21 7:00,21.04,21.20833,20.3,20.64667,21.50833
2019/12/21 8:00,21.1,21.2,20.3,20.695,21.5
2019/12/21 9:00,21.1,21.24333,20.3,20.755,21.5
2019/12/21 10:00,21.11,21.3,20.34833,20.87,21.505
2019/12/21 11:00,21.2,21.35167,20.46833,21.07333,21.59667
2019/12/21 12:00,21.26167,21.495,20.67,21.39,21.75833
2019/12/21 13:00,21.33833,21.6,20.8,21.39167,21.885
2019/12/21 14:00,21.405,21.68833,20.89833,21.3,22.025
2019/12/21 15:00,21.44667,21.71,20.9,21.20333,22.005
2019/12/21 16:00,21.50167,21.78833,20.93833,21.19333,22.065
2019/12/21 17:00,21.54,21.73,20.9,21.16167,22.00667
2019/12/21 18:00,21.60167,21.8,20.95,21.22667,22.10833
2019/12/21 19:00,21.63,21.79,20.92167,21.23167,22.06833
2019/12/21 20:00,21.7,21.84,20.94167,21.25667,22.105
2019/12/21 21:00,21.695,21.72667,20.86167,21.19167,21.91167
2019/12/21 22:00,21.69167,21.76833,20.875,21.22667,22.03167
2019/12/21 23:00,21.7,21.80333,20.87167,21.23833,22.02833
2019/12/22 0:00,21.7,21.695,20.8,21.15333,21.91
2019/12/22 1:00,21.62,21.58667,20.69167,21.04833,21.78833
2019/12/22 2:00,21.6,21.53167,20.6,21,21.77833
2019/12/22 3:00,21.58833,21.54,20.55167,20.97333,21.74333
2019/12/22 4:00,21.545,21.51167,20.5,20.915,21.78667
2019/12/22 5:00,21.5,21.5,20.42333,20.90167,21.7
2019/12/22 6:00,21.5,21.48333,20.39333,20.87333,21.68
2019/12/22 7:00,21.41667,21.36667,20.3,20.8,21.52
2019/12/22 8:00,21.40167,21.40833,20.32333,20.98667,21.58333
2019/12/22 9:00,21.405,21.42,20.4,21.07833,21.6
2019/12/22 10:00,21.43,21.46167,20.45667,21.24333,21.59667
2019/12/22 11:00,21.47833,21.5,20.545,21.23,21.63
2019/12/22 12:00,21.5,21.5,20.6,21.13833,21.68
2019/12/22 13:00,21.5,21.51833,20.60667,21.19,21.7
2019/12/22 14:00,21.50167,21.6,20.7,21.16833,21.7
2019/12/22 15:00,21.5,21.51667,20.61,21.01833,21.69667
2019/12/22 16:00,21.53,21.58167,20.65833,21.03,21.795
2019/12/22 17:00,21.6,21.69,20.7,21.07,21.84833
2019/12/22 18:00,21.58333,21.6,20.63167,20.99667,21.74
